Please enter the number of rows: Please enter the number of columns: Enter Matrix A
Enter Matrix B
A + B = 
74 -127 -46 
-60 596 -463 
368 479 724 
-671 189 -118 
180 -259 -122 
-1546 297 218 
-73 -1383 -290 
-1146 -162 -993 
1049 619 448 
1030 335 -804 
-411 -362 14 
-240 -1055 604 
820 -97 301 
717 37 1079 
-222 1049 744 
167 -332 -544 
-1170 -470 24 
1050 344 -113 
-1367 -127 -240 
-894 -1434 791 
-221 -147 152 
-167 -111 -1468 
939 -1566 337 
-113 1076 1082 
-128 -1454 -1633 
-65 546 306 
-416 1441 -1393 
515 1158 -608 
366 603 -984 
-1171 1213 -962 
-1242 -1225 -455 
-354 1758 -822 
-190 491 1211 
609 -1654 -403 
-574 -777 209 
177 338 -826 
152 306 -227 
